DATE,STATION,SAMPLE,SAMTIME,REPLICAT,STEMP,BTEMP,MESH,SSAL,BSAL,NETSLED,FLOWNO,RPM,DATECAL,FLOSTART,FLOEND,RPT,SPLITS,XFACTOR,NO3M,HYDROMED,CHAETOGN,GASTROPO,BIVALVES,STOMATOP,UNIDSHRI,ACETES,LUCIFER,PERICLIM,LATREUTE,OTHASHR,CRABMEGA,PINNOTHE,GAMAMPH,CAPAMPH,ISOPODS,CUMACEAN,MYSIDS,FISHEGGS,UNIDFLAR,OTHERS,PALAELAR,ALPHELAR,CALLILAR,UPOGELAR,PENAEPLA,GOBYLAR,ANCHOLAR,LEIOSLAR,SPECIESI,SPECIES2,SPECIES3,SPECIES4,SPECIES5,SPECIES6,SPECIES7
1/12/1981,BB,1,12:11:00,A,5.2,-99.9,365,35.9,-99.9,S,2147,34.72,800830,548210,555613,7403,0,1,27.72,4.149,23.81,0.649,0.036,0,0,0,0,0.036,0,0.397,0,0,4.185,0.361,0,0.505,0.866,0,0.144,0,0,0,0,0,0,0.072,0,0.072,0,0,0,0,0,0,0
1/12/1981,BB,1,12:20:00,B,5.2,-99.9,365,35.9,-99.9,S,2147,34.72,800830,555613,563240,7627,1,2,28.56,4.622,26.821,1.961,0.77,0,0,0,0,0.14,0,1.821,0,0,9.734,0.56,0,0.21,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/1981,BB,1,12:32:00,C,5.2,-99.9,365,35.9,-99.9,S,2147,34.72,800830,563240,571008,7768,0,1,29.08,3.473,21.286,0.103,0.034,0,0,0,0,0.069,0,0.963,0,0,11.829,0.481,0,0.241,1.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/1981,DD,1,12:42:00,A,4.9,-99.9,365,36.4,-99.9,S,2147,34.72,800830,571008,578106,7098,0,1,26.58,6.17,15.764,3.687,2.408,0,0,0,0,0,0,0,0,0,0.527,0.414,0,0.075,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/1981,DD,1,12:50:00,B,4.9,-99.9,365,36.4,-99.9,S,2147,34.72,800830,578106,585968,7862,0,1,29.44,5.129,14.776,2.683,1.189,0,0,0,0,0,0,0,0,0,3.635,0.068,0,0.102,0.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/1981,DD,1,13:00:00,C,4.9,-99.9,365,36.4,-99.9,S,2147,34.72,800830,585968,593912,7944,0,1,29.74,5.01,15.266,3.497,1.278,0,0,0,0,0,0,0,0,0,0.034,0,0,0.134,0.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4/1981,BB,2,11:44:00,A,4.5,-99.9,365,35,-99.9,S,2147,34.72,800830,482909,491345,8436,1,2,31.59,5.635,12.156,2.216,0.317,0,0,0,0,0,0,0.063,0,0,0.253,0.317,0,0.253,0.633,0,1.076,0,0,0,0,0,0,0,0,1.076,0,0,0,0,0,0,0
2/4/1981,BB,2,11:54:00,B,4.5,-99.9,365,35,-99.9,S,2147,34.72,800830,491345,499174,7829,0,1,29.31,3.548,8.7,1.024,0.409,0,0,0,0,0.068,0,0.136,0,0,4.128,0.512,0,0.989,4.572,0,0.887,0,0,0,0,0,0,0,0,0.785,0,0,0,0,0,0,0
2/4/1981,BB,2,12:05:00,C,4.5,-99.9,365,35,-99.9,S,2147,34.72,800830,499174,506818,7644,2,4,28.62,2.935,5.73,0.839,0.839,0,0,0,0,0.419,0,3.494,0,0,4.752,0.699,0,0.14,1.677,0,0.419,0,0,0,0,0,0,0,0,0.419,0,0,0,0,0,0,0
2/4/1981,DD,2,12:14:00,A,5,-99.9,365,35,-99.9,S,2147,34.72,800830,506818,515575,8757,0,1,32.79,3.385,3.599,0.396,0.945,0,0,0,0,0,0,0,0,0,0.427,0.091,0,0.091,0,0,0.122,0,0,0,0,0,0,0,0,0.091,0,0,0,0,0,0,0
2/4/1981,DD,2,12:24:00,B,5,-99.9,365,35,-99.9,S,2147,34.27,800830,515575,523986,8411,0,1,31.49,3.811,3.525,0.889,0.667,0,0,0,0,0,0,0,0,0,0.032,0.032,0,0.064,0.095,0,0.095,0,0,0,0,0,0,0,0,0.095,0,0,0,0,0,0,0
2/4/1981,DD,2,12:34:00,C,5,-99.9,365,35,-99.9,S,2147,34.72,800830,523986,531255,7269,0,1,27.22,3.674,4.519,0.771,0.367,0,0,0,0,0,0,0,0,0,0.037,0,0.037,0.184,0.22,0,0.184,0,0,0,0,0,0,0,0,0.147,0,0,0,0,0,0,0
2/17/1981,BB,3,10:57:00,A,9,-99.9,365,36,-99.9,S,2147,34.72,800830,628430,636073,7643,0,1,28.62,1.188,6.045,0.07,0.769,0,0,0,0,0,0,0.349,0.035,0,6.184,0.175,0.035,0.175,11.635,0,0.839,0,0,0,0,0,0,0,0,0.559,0,0,0,0,0,0,0
2/17/1981,BB,3,11:10:00,B,9,-99.9,365,36,-99.9,S,2147,34.72,800830,636073,643597,7524,1,2,28.17,0.497,2.769,0.142,2.414,0,0,0,0,0.071,0,1.278,0.426,0,43.663,1.136,0,0.497,26.837,0,2.414,0,0,0,0,0,0,0,0,1.917,0,0,0,0,0,0,0
2/17/1981,BB,3,11:22:00,C,9,-99.9,365,36,-99.9,S,2147,34.72,800830,643597,651188,7591,1,2,28.42,0.704,6.052,0.07,1.548,0,0,0,0,0,0,0.915,0,0,26.249,0.211,0,0.422,7.248,0,0.985,0.07,0,0,0,0,0,0,0,0.844,0,0,0,0,0,0,0
