DATE,STATION,SAMPLE,SAMTIME,REPLICAT,TSTAGE,STEMP,AIRTEMP,SEDWATER,SSAL,REDOX,COREAREA,COREDIAM,SEDVOL,COREDEPA,COREDEPB,COLLECT,UNIDCAPI,TOTCAPIT,CAPICAPI,HETEFILI,CAPISP01,UNIDCIRR,TOTCIRRA,CAULLESP,THARYXSP,CIRRSP01,UNIDGLYC,TOTGLYCE,GLYCSP01,UNIDGONI,TOTGONIA,GONISP01,UNIDLUMB,TOTLUMBR,LUMBTENU,LUMBSP01,UNIDMAGE,TOTMAGEL,MAGEPHYL,MAGESP01,UNIDNERE,TOTNEREI,NERESUCC,NERESP01,UNIDORBI,TOTORBIN,HAPLROBU,ORBISP01,UNIDPHYL,TOTPHYLL,ETEOHETE,PHYLSP01,UNIDSP01,TOTSPION,SPIONSPA,PARAPINN,POLYDSPI,POLYSPII,PRICIRRI,PRICIRRO,SPIOBOMB,STREBENE,SPIOSP01,SPIOSP02,UNIDSYLL,TOTSYLLI,SYLLSP01,POLYSP01,POLYSP02,POLYSP03,POLYSP04,UNIDPOLY,TOTPOLYC,TOTSPECI,TOTFAMIL,AMPHIPOD,TSHRIMPS,CUMACEAN,ISOPODSA,UNIDCRUS,TOTCRUST,TOTBIVAL,UNIDNEME,OLIGOCHA,SIPUNCUL,SHELGAST,UNIDMISC,TOTMISCE,TOTUNORG,TALLORGA
2/4/1981,BB,2,-99,1,0,5,-9.9,-9.9,35,-99,170,-99,1700,0,10,RPM,0,734.1177,596.4706,137.6471,0,91.76474,91.76474,0,0,0,183.5294,183.5294,0,0,0,0,367.0588,367.0588,0,0,0,0,0,0,45.88235,45.88235,0,0,3257.647,3257.647,0,0,0,183.5294,183.5294,0,0,2248.235,0,229.4117,0,0,0,0,91.76474,1927.059,0,0,183.5294,183.5294,0,45.88235,0,0,0,229.4118,7524.706,9,11,0,0,0,0,0,0,1947.647,815.2945,1177.647,0,0,0,1992.941,0,13435.89
2/4/1981,BB,2,-99,2,0,5,-9.9,-9.9,35,-99,170,-99,1700,0,10,RPM,0,550.5883,367.0588,183.5294,0,550.5883,550.5883,0,0,0,91.76474,91.76474,0,0,0,0,91.76474,91.76474,0,0,0,0,0,0,91.76474,91.76474,0,0,45.88235,5184.706,5138.823,0,0,229.4117,229.4117,0,45.88235,1835.294,0,45.88235,45.88235,0,45.88235,0,0,1651.765,0,0,45.88235,45.88235,0,45.88235,0,0,0,275.2942,8947.06,13,10,0,0,0,0,0,0,6069.412,90.58827,543.5294,0,0,0,634.1176,0,18360.59
2/17/1981,BB,3,14:30:00,2,0,9,15,-9.9,34,-99,170,-99,1700,0,10,RPM,0,734.1177,596.4706,137.6471,0,2064.706,2064.706,0,0,0,137.6471,137.6471,0,0,0,0,229.4117,229.4117,0,0,0,0,0,0,45.88235,45.88235,0,0,45.88235,1238.823,1192.941,0,0,91.76474,91.76474,0,550.5883,1238.823,0,91.76474,0,0,0,0,0,596.4706,0,0,0,0,0,45.88235,0,0,0,688.2353,6469.412,8,12,0,0,0,0,0,0,10145.88,135.8824,90.58827,45.29412,181.1765,90.58827,543.5294,0,20180.59
3/7/1981,BB,4,15:45:00,1,0,16,14,-9.9,34,-99,170,-99,850,0,5,RPM,58.82353,3235.294,2823.529,352.9412,0,18352.94,18352.94,0,0,0,235.2941,235.2941,0,0,0,0,411.7647,411.7647,0,0,0,0,0,0,0,0,0,0,0,764.7059,764.7059,0,0,0,0,0,0,4823.529,0,58.82353,0,0,0,0,0,4764.706,0,0,352.9412,352.9412,0,0,0,0,0,882.3529,29058.82,10,12,58.82353,0,0,58.82353,0,117.6471,823.5294,470.5882,1764.706,58.82353,294.1176,117.6471,2705.882,0,32705.88
3/7/1981,BB,4,15:45:00,2,0,16,14,-9.9,34,-99,170,-99,850,0,5,RPM,0,6176.471,5588.235,588.2353,0,10176.47,10176.47,0,0,0,235.2941,235.2941,0,0,0,0,823.5294,823.5294,0,0,0,0,0,0,0,0,0,0,0,823.5294,823.5294,0,0,117.6471,117.6471,0,58.82353,3588.235,0,235.2941,0,0,529.4118,0,0,2764.706,0,0,117.6471,117.6471,0,0,0,0,0,823.5294,22882.35,12,12,0,0,0,0,0,0,1882.353,647.0588,1117.647,0,294.1176,0,2058.824,0,26823.53
3/20/1981,BB,5,14:30:00,1,0,13,15,-9.9,34,4,170,-99,850,0,5,RPM,0,14470.59,13882.35,588.2353,0,24882.35,24882.35,0,0,0,294.1176,294.1176,0,0,0,0,1058.824,1235.294,176.4706,0,0,0,0,0,58.82353,58.82353,0,0,0,1411.765,1411.765,0,0,58.82353,58.82353,0,0,5529.412,58.82353,0,0,0,0,0,0,5470.588,0,0,294.1176,294.1176,0,0,0,0,0,882.3529,49117.65,12,12,0,0,0,176.4706,0,176.4706,352.9412,235.2941,1352.941,0,58.82353,0,1647.059,0,51294.12
3/20/1981,BB,5,14:30:00,2,0,13,15,-9.9,34,4,170,-99,850,0,5,RPM,58.82353,17823.53,17294.12,470.5882,0,28588.24,28588.24,0,0,0,235.2941,235.2941,0,0,0,0,1764.706,1882.353,117.6471,0,0,0,0,0,0,58.82353,58.82353,0,0,3470.588,3470.588,0,0,411.7647,411.7647,0,58.82353,5058.824,0,58.82353,0,0,0,0,58.82353,4882.353,0,0,647.0588,647.0588,0,0,0,0,0,1176.471,59352.94,14,14,58.82353,0,0,58.82353,0,117.6471,1117.647,882.3529,1529.412,0,470.5882,294.1176,3176.471,294.1176,63764.71
4/3/1981,BB,6,13:35:00,1,0,21,-9.9,-9.9,33,-99,170,-99,850,0,5,RPM,0,9411.765,9235.294,176.4706,0,9529.412,9529.412,0,0,0,0,0,0,0,0,0,411.7647,411.7647,0,0,0,0,0,0,0,0,0,0,0,529.4118,529.4118,0,0,58.82353,58.82353,0,0,2529.412,0,117.6471,0,0,0,58.82353,58.82353,2294.118,0,0,588.2353,588.2353,0,0,0,0,0,294.1176,23352.94,10,8,58.82353,0,0,0,0,58.82353,411.7647,352.9412,1941.176,58.82353,0,0,2352.941,0,26176.47
4/3/1981,BB,6,13:35:00,2,0,21,-9.9,-9.9,33,-99,170,-99,850,0,5,RPM,0,6470.588,6176.471,294.1176,0,3647.059,3647.059,0,0,0,0,0,0,58.82353,58.82353,0,235.2941,529.4118,294.1176,0,0,0,0,0,0,0,0,0,0,58.82353,58.82353,0,0,58.82353,58.82353,0,58.82353,1411.765,0,58.82353,0,0,0,0,0,1294.118,0,0,58.82353,58.82353,0,0,0,0,0,58.82353,12352.94,9,9,0,0,0,0,0,0,411.7647,352.9412,176.4706,0,0,58.82353,588.2353,0,13352.94
4/18/1981,BB,7,14:00:00,1,0,22,-9.9,-9.9,37,1,170,-99,850,0,5,RPM,0,3941.176,3941.176,0,0,4117.647,4117.647,0,0,0,58.82353,58.82353,0,0,0,0,176.4706,176.4706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1823.529,0,58.82353,0,0,0,0,0,1764.706,0,0,176.4706,176.4706,0,0,0,0,0,352.9412,10647.06,8,9,0,0,0,0,0,0,235.2941,235.2941,352.9412,0,0,0,588.2353,0,11470.59
