DATE,SITE,NEMA,COPE,NAUP,OSTR,GAST,CILI,TURB,POLY,BIVA
9/7/1972,BB,263,18,-99,1,-99,-99,0,3,1
9/7/1972,BB,104,16,-99,1,-99,-99,0,1,3
9/7/1972,BB,134,19,-99,1,-99,-99,2,1,1
9/7/1972,BB,75,9,-99,5,-99,-99,0,1,3
10/7/1972,BB,148,59,-99,0,-99,-99,0,2,8
10/7/1972,BB,295,168,-99,0,-99,-99,0,4,25
10/7/1972,BB,288,191,-99,0,-99,-99,0,12,22
10/7/1972,BB,265,83,-99,0,-99,-99,0,15,15
11/4/1972,BB,234,333,-99,1,-99,-99,0,8,6
11/4/1972,BB,238,279,-99,1,-99,-99,0,35,9
11/4/1972,BB,193,231,-99,5,-99,-99,1,23,19
11/4/1972,BB,197,172,-99,3,-99,-99,0,13,14
12/1/1972,BB,388,100,-99,1,-99,-99,0,11,3
12/1/1972,BB,160,29,-99,1,-99,-99,0,4,1
12/1/1972,BB,391,102,-99,0,-99,-99,0,14,6
9/7/1972,DD,608,84,-99,14,144,-99,148,16,7
9/7/1972,DD,731,144,-99,29,164,-99,150,17,7
9/7/1972,DD,950,130,-99,11,88,-99,116,28,4
9/7/1972,DD,1011,158,-99,13,9,-99,97,27,3
10/7/1972,DD,904,166,-99,11,160,-99,119,7,7
10/7/1972,DD,1002,185,-99,7,77,-99,116,5,4
10/7/1972,DD,781,65,-99,6,64,-99,117,7,4
10/7/1972,DD,845,273,-99,8,84,-99,81,17,0
11/4/1972,DD,369,62,-99,3,91,-99,32,7,5
11/4/1972,DD,418,71,-99,23,116,-99,44,19,4
11/4/1972,DD,385,109,-99,4,101,-99,41,3,2
11/4/1972,DD,347,198,-99,3,30,-99,21,4,3
12/1/1972,DD,380,35,-99,0,20,-99,2,0,2
12/1/1972,DD,417,45,-99,1,20,-99,3,1,2
12/1/1972,DD,322,34,-99,1,6,-99,2,2,1
12/1/1972,DD,442,65,-99,4,5,-99,0,1,1
1/17/1973,BB,219,15,-99,1,-99,-99,0,12,3
1/17/1973,BB,299,19,-99,0,-99,-99,0,16,3
1/17/1973,BB,313,39,-99,0,-99,-99,0,6,3
1/17/1973,BB,248,17,-99,0,-99,-99,0,9,1
2/7/1973,BB,418,27,-99,1,-99,-99,0,25,5
2/7/1973,BB,337,17,-99,0,-99,-99,0,18,0
2/7/1973,BB,412,9,-99,0,-99,-99,0,15,2
2/7/1973,BB,213,4,-99,2,-99,-99,0,17,3
3/16/1973,BB,401,75,-99,2,-99,-99,1,3,1
3/16/1973,BB,313,29,-99,0,-99,-99,0,11,2
3/16/1973,BB,212,18,-99,0,-99,-99,0,12,0
3/16/1973,BB,389,102,-99,0,-99,-99,0,4,2
4/17/1973,BB,410,171,-99,1,-99,-99,0,8,9
4/17/1973,BB,221,249,-99,0,-99,-99,0,7,0
4/17/1973,BB,239,204,-99,0,-99,-99,0,4,9
4/17/1973,BB,257,274,-99,1,-99,-99,0,7,8
5/12/1973,BB,255,20,-99,1,-99,-99,1,20,8
5/12/1973,BB,258,22,-99,2,-99,-99,0,20,2
5/12/1973,BB,167,18,-99,2,-99,-99,0,28,3
5/12/1973,BB,159,5,-99,1,-99,-99,0,20,0
6/14/1973,BB,455,68,-99,1,-99,-99,0,2,1
6/14/1973,BB,517,98,-99,2,-99,-99,0,3,0
6/14/1973,BB,595,169,-99,1,-99,-99,0,6,0
7/12/1973,BB,900,107,-99,0,-99,-99,0,7,3
7/12/1973,BB,654,81,-99,1,-99,-99,0,12,8
7/12/1973,BB,947,204,-99,0,-99,-99,0,37,17
7/12/1973,BB,268,95,-99,13,-99,-99,0,0,26
8/10/1973,BB,812,129,-99,0,-99,-99,0,11,5
8/10/1973,BB,374,153,-99,0,-99,-99,0,29,12
8/10/1973,BB,329,137,-99,0,-99,-99,0,6,5
8/10/1973,BB,617,106,-99,0,-99,-99,0,9,3
9/10/1973,BB,369,94,-99,3,-99,1,1,5,1
9/10/1973,BB,638,99,-99,25,-99,0,3,26,9
9/10/1973,BB,594,136,-99,20,-99,0,0,26,5
9/10/1973,BB,1390,61,-99,43,-99,4,7,75,1
10/8/1973,BB,225,57,-99,1,-99,9,1,38,2
10/8/1973,BB,340,39,-99,4,-99,3,2,33,2
10/8/1973,BB,126,35,-99,0,-99,5,1,23,3
10/8/1973,BB,191,37,-99,0,-99,3,2,23,2
11/8/1973,BB,242,39,-99,1,-99,6,0,15,11
11/8/1973,BB,237,33,-99,3,-99,3,0,14,12
11/8/1973,BB,203,53,-99,11,-99,3,8,32,21
11/8/1973,BB,149,41,-99,0,-99,3,7,22,5
12/6/1973,BB,543,88,-99,5,-99,9,3,36,23
12/6/1973,BB,480,122,-99,6,-99,6,3,44,27
12/6/1973,BB,342,89,-99,9,-99,2,4,38,32
12/6/1973,BB,493,95,-99,6,-99,0,0,46,35
1/17/1973,DD,364,57,-99,2,23,-99,0,1,0
1/17/1973,DD,396,9,-99,0,3,-99,0,4,0
1/17/1973,DD,419,26,-99,2,11,-99,0,1,2
1/17/1973,DD,363,13,-99,2,9,-99,1,1,2
2/7/1973,DD,462,37,-99,1,21,-99,0,2,1
2/7/1973,DD,455,18,-99,1,3,-99,0,1,2
2/7/1973,DD,593,27,-99,0,4,-99,0,1,3
2/7/1973,DD,447,22,-99,0,2,-99,0,4,4
3/16/1973,DD,435,21,-99,3,7,-99,0,1,0
3/16/1973,DD,413,36,-99,2,9,-99,0,0,0
3/16/1973,DD,600,68,-99,0,18,-99,0,0,0
3/16/1973,DD,669,28,-99,0,5,-99,0,0,0
4/17/1973,DD,550,74,-99,6,26,-99,0,1,11
4/17/1973,DD,594,77,-99,1,19,-99,0,0,0
4/17/1973,DD,496,56,-99,1,35,-99,0,0,1
4/17/1973,DD,670,76,-99,0,34,-99,0,0,2
5/12/1973,DD,380,42,-99,2,85,-99,45,5,4
5/12/1973,DD,470,30,-99,5,94,-99,58,11,6
5/12/1973,DD,434,22,-99,6,47,-99,32,14,8
5/12/1973,DD,529,30,-99,1,77,-99,30,4,9
6/14/1973,DD,734,141,-99,1,60,-99,2,7,4
6/14/1973,DD,676,128,-99,4,41,-99,4,3,2
6/14/1973,DD,578,128,-99,4,59,-99,2,1,3
6/14/1973,DD,374,66,-99,2,25,-99,0,4,2
7/12/1973,DD,478,8,-99,0,153,-99,1,11,2
7/12/1973,DD,516,17,-99,0,189,-99,2,18,2
7/12/1973,DD,472,22,-99,0,172,-99,6,7,0
7/12/1973,DD,268,5,-99,1,27,-99,0,0,0
8/10/1973,DD,343,52,-99,1,61,25,14,2,1
8/10/1973,DD,496,42,-99,0,291,53,13,12,1
8/10/1973,DD,707,21,-99,0,179,7,5,3,4
8/10/1973,DD,509,55,-99,0,221,55,23,5,2
9/10/1973,DD,996,101,-99,14,439,106,153,24,13
9/10/1973,DD,1197,66,-99,4,484,96,100,12,2
9/10/1973,DD,1002,59,-99,11,614,65,106,13,8
9/10/1973,DD,1477,116,-99,8,519,82,109,13,11
10/8/1973,DD,856,53,-99,8,153,17,22,3,11
10/8/1973,DD,667,41,-99,1,262,34,19,2,0
10/8/1973,DD,804,67,-99,2,308,18,18,7,8
10/8/1973,DD,648,67,-99,1,359,30,28,2,1
11/8/1973,DD,571,62,-99,0,372,32,59,1,2
11/8/1973,DD,669,52,-99,7,352,13,48,0,6
11/8/1973,DD,565,187,-99,3,247,12,46,4,2
11/8/1973,DD,460,59,-99,0,278,23,47,2,2
12/6/1973,DD,804,39,-99,7,340,147,178,7,3
