Date, Time,Minimum_Air_Temp,Current_Air_Temp,Maximum_Air_Temp,Precipitation,Relative_Humidity_Minimum,Relative_Humidity_Maximum,Barometric_Pressure_Minimum,Barometric_Pressure_Maximum
1986-12-01,10:04:00,8,13,15,10.7,-99.9,-99.9,-99.9,-99.9
1986-12-02,09:35:00,10,16.5,19,14.8,-99.9,-99.9,-99.9,-99.9
1986-12-03,09:26:00,9.5,12.5,21.5,4.2,-99.9,-99.9,-99.9,-99.9
1986-12-04,09:34:00,4,8.5,16,0,-99.9,-99.9,-99.9,-99.9
1986-12-05,09:25:00,4,7,7,0,-99.9,-99.9,-99.9,-99.9
1986-12-06,09:05:00,2,6.5,11.5,0,-99.9,-99.9,-99.9,-99.9
1986-12-07,09:17:00,1.5,9,12.5,0,-99.9,-99.9,-99.9,-99.9
1986-12-08,09:31:00,6.5,15,15,0,-99.9,-99.9,-99.9,-99.9
1986-12-09,09:25:00,11.5,17,17,0,-99.9,-99.9,-99.9,-99.9
1986-12-10,09:55:00,17,20,24,1.2,-99.9,-99.9,-99.9,-99.9
1986-12-11,09:30:00,16.5,17.5,22.5,23.4,-99.9,-99.9,-99.9,-99.9
1986-12-12,09:35:00,10.5,10.5,22.5,34.4,-99.9,-99.9,-99.9,-99.9
1986-12-13,09:15:00,4,6.5,12,15,-99.9,-99.9,-99.9,-99.9
1986-12-14,09:35:00,0,4,8.5,0,-99.9,-99.9,-99.9,-99.9
1986-12-15,09:29:00,3.5,8.8,11,0,-99.9,-99.9,-99.9,-99.9
1986-12-16,09:34:00,3.4,12.5,12.5,0,-99.9,-99.9,-99.9,-99.9
1986-12-17,09:30:00,5,11,15.5,0,-99.9,-99.9,-99.9,-99.9
1986-12-18,09:25:00,9,13,16,1.4,-99.9,-99.9,-99.9,-99.9
1986-12-19,09:25:00,1.5,7,15,3.4,-99.9,-99.9,-99.9,-99.9
1986-12-20,09:39:00,6.5,12,13,0,-99.9,-99.9,-99.9,-99.9
1986-12-21,09:28:00,4,5.5,13,0,-99.9,-99.9,-99.9,-99.9
1986-12-22,09:30:00,-1,4.5,9.5,0,-99.9,-99.9,-99.9,-99.9
1986-12-23,09:20:00,3.5,8,8,0,-99.9,-99.9,-99.9,-99.9
1986-12-24,09:40:00,8,19,19.5,29,-99.9,-99.9,-99.9,-99.9
1986-12-25,-999,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1986-12-26,09:33:00,9,10,22.5,0.2,-99.9,-99.9,-99.9,-99.9
1986-12-27,09:34:00,7.5,8,14.5,0,-99.9,-99.9,-99.9,-99.9
1986-12-28,09:33:00,3,6,11,0,-99.9,-99.9,-99.9,-99.9
1986-12-29,09:36:00,2.5,7,13,0,69.5,89.5,-99.9,-99.9
1986-12-30,09:46:00,4,9,10.5,0,46,99,-99.9,-99.9
1986-12-31,11:02:00,0,7.5,14.5,0,71,100,-99.9,-99.9
1987-01-01,-999,-99.9,-99.9,-99.9,-99.9,95,100,-99.9,-99.9
1987-01-02,09:35:00,-99.9,7,13,0,55.5,99,-99.9,-99.9
1987-01-03,09:25:00,-0.5,3.5,11,0,49,100,-99.9,-99.9
1987-01-04,09:20:00,-1,6.5,10.5,0,60,100,-99.9,-99.9
1987-01-05,09:50:00,3.5,7,9.5,2,43.5,91,-99.9,-99.9
1987-01-06,09:46:00,-1.5,4,12,0,53,100,-99.9,-99.9
1987-01-07,09:22:00,1.5,10,11,0,59.5,100,-99.9,-99.9
1987-01-08,09:15:00,1.5,7.5,18,0,66.5,100,-99.9,-99.9
1987-01-09,09:30:00,-1,9.5,10.5,0,66.5,100,-99.9,-99.9
1987-01-10,09:17:00,9,15.5,15.5,4.6,83.5,100,-99.9,-99.9
1987-01-11,09:24:00,4,6.5,15.5,20.4,50,96.5,-99.9,-99.9
1987-01-12,09:42:00,0,4,10,0,42.5,87,-99.9,-99.9
1987-01-13,09:31:00,2.5,9,13.5,0,37,100,-99.9,-99.9
1987-01-14,09:38:00,1,11.5,7.5,0,52,100,-99.9,-99.9
1987-01-15,09:25:00,9.5,14,18.5,0,92.5,100,-99.9,-99.9
1987-01-16,09:32:00,11.5,12.5,15.5,11,100,100,-99.9,-99.9
1987-01-17,09:44:00,6.5,7.5,13,19.6,94,100,-99.9,-99.9
1987-01-18,09:38:00,5,6.5,9,8.4,100,100,-99.9,-99.9
1987-01-19,09:25:00,6,20.3,20.3,0.8,54,98,-99.9,-99.9
1987-01-20,09:29:00,4.5,6.5,20.5,6.2,58,93,-99.9,-99.9
1987-01-21,09:34:00,6.5,8,10,0.2,76,99.5,-99.9,-99.9
1987-01-22,09:50:00,4.5,4.5,10.5,39.6,68,100,-99.9,-99.9
1987-01-23,09:28:00,1.5,2.5,10,2,29,92.5,-99.9,-99.9
1987-01-24,09:50:00,-2.5,7.5,7.5,0,37.5,97.5,-99.9,-99.9
1987-01-25,09:27:00,4,10.5,11.5,0,96,100,-99.9,-99.9
1987-01-26,09:30:00,-1.3,-1.3,12.2,19.6,73.5,100,-99.9,-99.9
1987-01-27,09:35:00,-3.5,-1,3,0,49,100,-99.9,-99.9
1987-01-28,09:35:00,-1.5,4,4,0.4,58,100,-99.9,-99.9
1987-01-29,09:41:00,-2.5,6.5,8.5,0,73,100,-99.9,-99.9
1987-01-30,09:38:00,3.5,13,14,0,92,100,-99.9,-99.9
1987-01-31,09:41:00,3.5,7.5,18.5,0,46,100,-99.9,-99.9
1987-02-01,09:39:00,-2.5,7.5,11,0,65,100,-99.9,-99.9
1987-02-02,09:40:00,7.3,14.3,14.3,0,87,100,-99.9,-99.9
1987-02-03,09:33:00,10.5,11,17.5,6.4,77,100,-99.9,-99.9
1987-02-04,09:30:00,7,9.5,16.5,0,76.5,100,-99.9,-99.9
1987-02-05,09:37:00,6.5,8,11.5,0,61,100,-99.9,-99.9
1987-02-06,09:35:00,6.5,11,11,0,82.5,100,-99.9,-99.9
1987-02-07,09:30:00,9.5,11.5,14.5,31.8,80,100,-99.9,-99.9
1987-02-08,-999,1,12,12.5,4,41,100,-99.9,-99.9
1987-02-09,09:30:00,-1,1.8,17.5,0,51,100,-99.9,-99.9
1987-02-10,09:40:00,-2.5,4.5,8.5,0,35,88,-99.9,-99.9
1987-02-11,09:29:00,3.5,8.5,13.5,0,35,100,-99.9,-99.9
1987-02-12,09:38:00,7,15.5,15.5,0,63,100,-99.9,-99.9
1987-02-13,09:28:00,3,11.5,23,0,66,100,-99.9,-99.9
1987-02-14,09:30:00,3,14.5,14.5,0,74,100,-99.9,-99.9
1987-02-15,09:40:00,5.5,9,21.5,0,93,100,-99.9,-99.9
1987-02-16,09:40:00,2,4,11,22,97,100,-99.9,-99.9
1987-02-17,09:42:00,-2,2.3,7.8,5.4,97,100,-99.9,-99.9
1987-02-18,09:25:00,2,3.5,5,0,86,100,-99.9,-99.9
1987-02-19,09:30:00,-0.5,5.5,8.5,0,71,100,-99.9,-99.9
1987-02-20,09:35:00,-0.5,7,9.5,0,56,100,-99.9,-99.9
1987-02-21,09:40:00,4.5,5.5,9.5,8,86,100,-99.9,-99.9
1987-02-22,-999,3.5,6,6.5,2,81,100,-99.9,-99.9
1987-02-23,09:22:00,5.5,9,10,17,82,100,-99.9,-99.9
1987-02-24,09:38:00,2.5,6.5,14.5,0,75,100,-99.9,-99.9
1987-02-25,09:45:00,6,9,15,0,82,100,-99.9,-99.9
1987-02-26,09:40:00,7,8,9.5,1.6,88,100,-99.9,-99.9
1987-02-27,09:40:00,4,5,6.5,19.6,100,100,-99.9,-99.9
