Date,Creek,Chl_a ,Phae_a
9/8/78,TC,13.07,3.04
9/9/78,TC,11.57,1.92
9/10/78,TC,5.57,2.49
9/11/78,TC,3.17,1.02
9/12/78,TC,5.57,3.29
9/13/78,TC,5.09,2.49
9/14/78,TC,9.71,6.04
9/15/78,TC,9.86,3.24
9/16/78,TC,5.36,1.69
9/17/78,TC,5.57,2.08
9/18/78,TC,7.28,1.78
9/19/78,TC,6.64,2.62
9/20/78,TC,8.45,4.50
9/21/78,TC,13.71,4.41
9/22/78,TC,11.27,2.41
9/23/78,TC,7.93,3.95
9/24/78,TC,10.28,2.20
9/25/78,TC,10.50,0.58
9/26/78,TC,10.50,1.99
9/27/78,TC,12.43,4.89
9/28/78,TC,10.28,2.81
9/29/78,TC,12.68,1.30
9/30/78,TC,15.85,1.47
10/1/78,TC,6.00,1.65
10/2/78,TC,7.93,0.73
10/3/78,TC,8.36,1.31
10/4/78,TC,8.57,1.90
10/5/78,TC,10.93,1.76
10/6/78,TC,9.43,3.06
10/7/78,TC,10.28,2.61
10/8/78,TC,11.35,1.74
10/9/78,TC,4.31,0.85
10/10/78,TC,3.21,0.76
10/11/78,TC,3.21,2.01
10/13/78,TC,4.31,0.70
10/14/78,TC,3.44,1.71
10/16/78,TC,4.23,1.14
10/19/78,TC,4.38,1.28
10/20/78,TC,4.15,0.85
10/21/78,TC,4.70,0.90
10/22/78,TC,4.38,0.77
10/23/78,TC,4.15,1.08
10/24/78,TC,6.26,1.32
10/25/78,TC,2.90,0.71
10/26/78,TC,2.19,0.97
10/27/78,TC,2.66,1.90
10/28/78,TC,5.09,1.98
10/29/78,TC,3.91,2.56
10/30/78,TC,3.91,3.15
10/31/78,TC,7.07,3.00
11/1/78,TC,5.78,1.47
11/2/78,TC,6.64,1.21
11/3/78,TC,9.00,3.09
11/4/78,TC,5.57,2.08
11/5/78,TC,1.72,1.52
11/6/78,TC,4.85,1.18
11/7/78,TC,3.52,0.97
11/8/78,TC,2.19,1.19
11/9/78,TC,2.11,1.12
11/10/78,TC,2.74,2.26
11/11/78,TC,2.58,2.42
11/12/78,TC,3.84,1.98
11/13/78,TC,5.48,2.32
11/14/78,TC,6.43,1.23
11/15/78,TC,4.46,1.42
11/16/78,TC,4.78,0.52
11/17/78,TC,6.64,2.62
11/19/78,TC,8.14,2.94
11/20/78,TC,6.21,4.46
11/21/78,TC,11.35,4.55
11/22/78,TC,9.64,2.85
11/23/78,TC,5.57,1.28
11/24/78,TC,2.66,0.80
11/25/78,TC,2.35,0.89
11/26/78,TC,2.50,1.03
11/27/78,TC,2.66,1.61
11/28/78,TC,2.74,1.60
11/29/78,TC,4.31,1.36
11/30/78,TC,4.54,1.42
12/1/78,TC,5.01,1.17
12/2/78,TC,3.99,1.75
12/3/78,TC,4.38,1.50
12/4/78,TC,6.21,1.64
12/5/78,TC,5.71,1.57
12/6/78,TC,5.09,1.17
12/7/78,TC,2.90,1.22
12/8/78,TC,2.04,0.54
12/9/78,TC,3.29,1.57
12/10/78,TC,4.31,1.95
12/11/78,TC,3.13,1.58
12/12/78,TC,4.46,1.87
12/13/78,TC,4.23,1.22
12/14/78,TC,3.84,1.24
12/15/78,TC,2.74,0.79
12/16/78,TC,1.64,0.64
12/17/78,TC,3.21,0.84
12/18/78,TC,2.43,0.96
12/19/78,TC,2.66,0.13
12/20/78,TC,2.74,0.42
12/21/78,TC,7.07,1.19
12/22/78,TC,6.42,1.09
12/23/78,TC,3.76,0.36
12/24/78,TC,2.35,0.59
12/25/78,TC,1.96,1.43
12/26/78,TC,3.76,1.54
12/27/78,TC,2.58,1.02
12/28/78,TC,5.40,2.40
12/29/78,TC,5.56,2.68
12/30/78,TC,4.23,3.20
12/31/78,TC,4.46,1.42
1/1/79,TC,4.23,1.88
1/2/79,TC,4.93,2.52
1/3/79,TC,5.14,4.12
1/4/79,TC,3.37,1.27
1/5/79,TC,2.43,0.81
1/6/79,TC,1.57,0.64
1/7/79,TC,1.49,0.43
1/8/79,TC,1.29,0.92
1/10/79,TC,2.15,1.16
1/11/79,TC,1.88,0.92
1/12/79,TC,5.89,4.68
1/13/79,TC,4.50,2.85
1/14/79,TC,3.43,2.01
1/15/79,TC,3.43,1.41
1/16/79,TC,3.32,1.21
1/17/79,TC,3.43,1.20
1/18/79,TC,2.82,1.16
1/19/79,TC,7.50,5.59
1/21/79,TC,2.43,1.40
1/22/79,TC,2.74,1.45
1/23/79,TC,1.96,1.06
1/24/79,TC,2.90,1.59
1/25/79,TC,6.43,2.43
1/26/79,TC,11.57,2.13
1/27/79,TC,10.28,2.61
1/28/79,TC,8.78,0.48
