DATE,STATION,SAMPLE,ATTIME,REPLICAT,STEMP,BTEMP,MESH,SSAL,BSAL,SVOL,TYPETOW,TTSBO,RPM,RPT,DATECAL,FLOSTART,FLOEND,NOMINTOW,PSAMSORT,NAME,XFACTOR,NO3M,HYDROMED,GASTRVEL,BIVLARVA,POLYCHAE,UNCLADOC,OSTRACOD,ACTONSAA,ACTONSAC,CENTHAMA,CENTHAMC,EURYAFFA,EURYAFFC,LABIAESA,LABIAESC,PARVCRAA,PSECOROA,PSECOROC,UCALSPPA,UCALSPPC,TEMTURBA,TEMTURBC,UNCALSPP,EUTACUTA,UNIHARPA,OITHSPPC,UNICYCLA,UNICOPEN,UNICOPEA,UNICOPEC,BARNNAUP,BARNCYPR,CRABLIKZ,BRYOZOAN,BIPIBRAC,DOLIOLAR,OPHIOPLU,ECHINOPL,ASCIDIAL,LARVACEA,OTHERPLA,TOTZPK,ACARTIA,CENTROP,BARNACLE,EURYTEMO,TOTCOPEP,PSECOROT
1981-01-20,BB,1,13:36:00,A,5,-99.9,153,36,-99.9,200,PM,O,3658,34,820930542060,546540,4480,2,100,DLB,1,9,21.7,0,0,357.5,21.7,0,422.5,97.5,65,0,0,0,0,0,2383.5,0,0,0,0,0,0,2177.7,21.7,21.7,1538.5,173.3,1538.5,0,2177.7,151.7,173.3,0,0,0,0,0,0,0,0,97.5,9263.3,520,65,325,0,8439.9,0
1981-01-20,BB,1,13:36:00,B,5,-99.9,153,36,-99.9,200,PM,O,3655,35,820930947037,951214,4177,2,100,DLB,1,8,23.6,23.6,11.8,496.5,23.6,35.5,177.3,212.8,25.4,0,0,0,0,0,2482.3,0,0,0,0,0,0,2210.4,0,23.6,1737.6,201,1654.9,0,2210.4,212.8,212.8,0,0,0,0,0,0,0,0,47.3,9812.8,390.1,25.4,425.6,0,8725.3,0
1981-01-20,DD,1,13:17:00,A,5,-99.9,153,36,-99.9,200,PM,O,3658,34,820930537902,542060,4158,2,100,DLB,1,9,35,35,46.7,420,11.7,0,221.7,186.7,140,0,0,0,0,0,2532.1,0,0,0,0,0,0,2987.2,0,0,1400.2,128.4,1458.6,0,2987.2,58.3,93.4,0,0,0,0,0,0,0,0,58.3,9813.3,408.4,140,151.7,0,9054.9,0
1981-01-20,DD,1,13:17:00,B,5,-99.9,153,36,-99.9,200,PM,O,3655,35,820930943177,947037,3860,2,100,DLB,1,8,0,25.6,64,473.7,0,0,243.3,12.8,128,0,0,0,0,0,2637.6,0,0,0,0,0,0,2624.8,0,25.6,1664.5,153.7,2074.3,0,2624.8,51.2,128,0,0,0,0,0,0,0,0,38.4,10345.5,256.1,128,179.2,0,9564.6,0
1981-02-04,BB,2,12:50:00,A,5,-99.9,153,35,-99.9,200,PM,O,3657,35,82093028154,33016,4862,2,100,DLB,1,1,40.8,10.2,71.4,1010.2,0,0,40.8,71.4,71.4,0,0,0,0,0,1765.3,10.2,0,0,0,0,0,6836.7,0,20.4,1132.7,51,5642.9,0,6836.7,571.4,10.2,0,0,0,0,0,0,0,0,153,17510,112.2,71.4,581.6,0,15642.8,10.2
1981-02-04,BB,2,12:50:00,B,5,-99.9,153,35,-99.9,200,PM,O,3655,35,82093048026,52144,4118,2,100,DLB,1,8,12,0,12,731.4,0,0,0,131.9,215.8,0,0,0,0,0,2709.8,0,0,0,0,0,0,10503.6,0,0,2350.1,48,6414.9,0,10503.6,791.4,24,0,12,0,0,0,0,0,0,60,24016.9,131.9,215.8,815.4,0,22374.1,0
1981-02-04,DD,2,12:40:00,A,5,-99.9,153,35,-99.9,200,PM,O,3657,35,82093025333,30150,4817,2,100,DLB,1,1,30.9,30.9,10.3,1123.7,10.3,10.3,113.4,216.5,206.2,0,0,0,0,0,1876.3,20.6,0,0,0,0,0,10866,10.3,10.3,1649.5,92.8,1494.8,0,10866,278.4,0,0,0,0,0,0,0,0,0,82.5,18134,329.9,206.2,278.4,0,16556.7,20.6
1981-02-04,DD,2,12:40:00,B,5,-99.9,153,35,-99.9,200,PM,O,3655,35,82093039020,43526,4506,2,100,DLB,1,9,21.9,11,11,943,0,0,76.8,153.5,186.4,0,0,0,0,0,1743.4,0,0,0,0,0,0,7686.4,11,21.9,1721.5,11,4704,0,7686.4,263.2,0,0,0,0,0,0,0,0,0,22,17588,230.3,186.4,263.2,0,16315.9,0
1981-02-17,BB,3,12:12:00,A,9,-99.9,153,36,-99.9,200,PM,O,3657,35,82093074539,79176,4637,2,100,DLB,1,9,0,10.7,21.4,117.8,10.7,0,117.8,96.4,64.2,0,0,0,0,0,1060,0,0,0,0,0,0,4807.3,0,21.4,1006.4,32.1,96.4,0,4807.3,963.6,10.7,0,32.1,32.1,0,0,0,0,0,21.4,8522.5,214.2,64.2,974.3,0,7302,0
1981-02-17,BB,3,12:20:00,B,9,-99.9,153,36,-99.9,200,PM,O,3655,35,82093086487,90966,4479,2,100,DLB,1,9,0,11,11,286.7,0,0,121.3,187.4,143.3,0,0,0,0,0,1301,11,0,0,0,0,0,5468.6,0,11,1907.4,88.3,0,0,5468.6,352.8,33.1,0,0,22.1,0,0,0,0,0,11,9967,308.7,143.3,385.9,0,9239.3,11
